houseid,pno,p3p3_sex,p3p4_age,occupn
603026612135e11,1,1. Male,56,1227
60303041197e12,1,1. Male,38,1227
606050311912e11,1,1. Male,37,1231
130503101328e12,1,1. Male,32,1231
606020211944e11,1,2. Female,40,1233
603025611853e11,1,1. Male,47,1239
603030512142e11,1,1. Male,46,1239
705020222273e11,1,1. Male,40,1311
603022212193e11,1,1. Male,27,1314
603014212142e11,2,2. Female,60,1314
605060511962e11,1,1. Male,55,1314
110306061294e12,1,1. Male,33,1314
406020321566e11,1,1. Male,61,1314
104010121079e11,1,1. Male,50,1314
602040912212e11,2,2. Female,35,1314
302010411451e11,1,2. Female,37,1314
701020322285e11,2,2. Female,53,1314
406030211572e11,2,2. Female,59,1314
603022212138e11,1,1. Male,43,1314
603013112253e11,1,1. Male,35,1314
605060311961e11,1,1. Male,33,1314
404060521641e11,1,2. Female,56,1314
302011011323e11,5,1. Male,23,1314
603022212138e11,1,1. Male,32,1314
603021411964e11,2,2. Female,30,1314
101030321052e11,1,1. Male,29,1314
605060311961e11,5,1. Male,29,1314
603020612215e11,1,1. Male,43,1316
702090112444e11,2,2. Female,29,1317
100502021279e12,7,2. Female,35,2122
100101032282e12,3,1. Male,26,2122
602060512225e11,1,1. Male,56,2131
603025012157e11,1,2. Female,26,2142
603024912192e11,5,1. Male,28,2143
406051121575e11,4,1. Male,49,2143
703090322352e11,12,1. Male,52,2143
603024012255e11,1,1. Male,38,2144
603030512282e11,1,1. Male,41,2145
603030512142e11,1,1. Male,46,2147
701060212386e11,5,1. Male,30,2221
130102012312e12,7,1. Male,30,2221
606070812102e11,3,2. Female,32,2221
602021711842e11,1,1. Male,42,2221
302010811323e11,9,1. Male,33,2221
110301052286e12,3,1. Male,32,2221
302030211402e11,1,1. Male,38,2221
602040912216e11,2,2. Female,37,2221
110306132293e12,1,1. Male,53,2229
101110111081e11,5,1. Male,26,2229
304110121342e11,1,1. Male,41,2231
702090322261e11,2,2. Female,35,2231
603025712117e11,1,2. Female,44,2231
606030521942e11,1,1. Male,53,2231
606040412108e11,1,1. Male,42,2231
603024011958e11,2,2. Female,27,2231
60201022185e12,10,1. Male,25,2231
603011311978e11,2,2. Female,35,2231
507080521758e11,1,1. Male,32,2231
602070112069e11,4,1. Male,23,2232
402040421658e11,2,2. Female,34,2232
603021411963e11,5,1. Male,23,2316
802030222505e11,2,1. Male,35,2316
90203081269e12,2,2. Female,38,2316
603023011969e11,6,1. Male,22,2316
504040321704e11,1,1. Male,31,2316
130503021328e12,1,1. Male,47,2410
402020521601e11,1,1. Male,52,2410
603013722128e11,1,1. Male,41,2410
603024012284e11,1,2. Female,27,2410
602050712065e11,4,1. Male,31,2410
603011711852e11,2,1. Male,33,2410
301060321419e11,1,1. Male,34,2410
130304012322e12,1,1. Male,56,2410
102030321026e11,1,2. Female,48,2410
603010611861e11,1,1. Male,28,2410
404070321644e11,4,2. Female,30,2410
302080421216e11,3,1. Male,32,2410
606050611953e11,6,1. Male,60,2410
110306081295e12,1,1. Male,43,2421
100105012281e12,3,2. Female,33,2421
302040221329e11,1,1. Male,32,2421
603010812165e11,2,2. Female,26,2421
605050912038e11,2,2. Female,46,2421
803030222563e11,1,1. Male,59,2421
302050221282e11,1,1. Male,45,2421
120302011296e12,1,1. Male,35,2421
603024912126e11,6,2. Female,40,2421
602030212221e11,2,2. Female,51,2421
5070301218e13,4,2. Female,33,2421
605020512016e11,2,2. Female,27,2421
110302022295e12,2,2. Female,32,2421
604010522099e11,3,2. Female,25,2421
603023611964e11,2,2. Female,54,2421
603022311895e11,1,1. Male,45,2421
101010221004e11,2,2. Female,46,2421
603040211967e11,1,2. Female,47,2421
40308012167e12,3,1. Male,72,2421
602030311927e11,2,2. Female,43,2421
6030113122e13,4,1. Male,34,2421
804050322512e11,2,2. Female,25,2421
301020223176e11,2,2. Female,24,2421
30403022138e12,1,1. Male,30,2421
80303072258e12,2,2. Female,31,2421
110304022292e12,1,1. Male,44,2421
130303062325e12,1,1. Male,50,2421
606040412108e11,2,2. Female,54,2421
602030911928e11,2,2. Female,39,2421
803031612611e11,5,2. Female,32,2421
507050521796e11,1,1. Male,60,2421
702100412293e11,1,1. Male,41,2421
602021212074e11,2,2. Female,30,2421
606060112078e11,21,2. Female,29,2422
703060522407e11,1,1. Male,37,2422
101100511065e11,1,1. Male,37,2422
801050322529e11,1,1. Male,42,2422
602021212074e11,1,1. Male,41,2422
100204012284e12,1,1. Male,57,2422
606020211945e11,1,1. Male,47,2422
90306012265e12,2,2. Female,41,2422
901040722731e11,3,1. Male,27,2422
120305062296e12,1,1. Male,45,2422
302030421326e11,2,2. Female,41,2422
130503101326e12,2,2. Female,41,2422
603022711976e11,1,1. Male,30,2422
701060222387e11,4,1. Male,31,2422
603013612129e11,5,2. Female,28,2422
803080122561e11,1,1. Male,48,2422
202010321126e11,1,1. Male,36,2422
403110121499e11,3,2. Female,65,2422
120302171303e12,2,2. Female,57,2422
30110022143e12,3,1. Male,31,2422
603030212256e11,1,1. Male,30,2422
203030521176e11,2,2. Female,40,2422
304110321341e11,7,1. Male,53,2422
203021321171e11,1,1. Male,48,2422
201010411092e11,2,2. Female,61,2422
903010522652e11,1,1. Male,49,2422
130508042313e12,2,2. Female,27,2422
80303181259e12,5,2. Female,41,2422
302040521287e11,1,1. Male,50,2422
602040712213e11,3,1. Male,31,2422
801040422523e11,1,1. Male,50,2422
110304022292e12,1,1. Male,42,2422
203020221173e11,1,1. Male,51,2422
602030712222e11,1,1. Male,31,2422
903070322672e11,1,1. Male,35,2422
302030111239e11,1,1. Male,38,2431
100505012278e12,2,2. Female,27,2431
901020322639e11,1,2. Female,31,2431
110103042295e12,2,2. Female,64,2431
406010521501e11,2,2. Female,29,2431
110201012286e12,1,1. Male,48,2431
110302042293e12,4,1. Male,31,2431
110304032293e12,2,2. Female,40,2431
403120221559e11,5,2. Female,32,2431
110301021289e12,2,2. Female,27,2431
602061321876e11,2,2. Female,28,2431
100504012278e12,3,1. Male,28,2431
901040422668e11,1,2. Female,27,2431
601050221894e11,1,1. Male,31,2431
120302161303e12,2,2. Female,53,2431
102010121009e11,1,1. Male,47,2431
701020322284e11,1,1. Male,44,2431
502020221725e11,1,1. Male,48,2431
110202012286e12,5,1. Male,64,2431
704020722317e11,2,2. Female,39,2431
1203010623e14,1,1. Male,49,2431
505030411687e11,1,1. Male,58,2431
1203022013e14,1,1. Male,48,2431
120201012309e12,1,1. Male,49,2431
803032212591e11,1,1. Male,53,2431
703130522361e11,9,1. Male,33,2431
603013211957e11,2,2. Female,55,2431
302030621241e11,3,1. Male,37,2431
602021511934e11,2,2. Female,57,2431
120203032306e12,1,1. Male,45,2431
130508022328e12,2,2. Female,36,2431
403160321674e11,3,1. Male,34,2431
103030221004e11,1,1. Male,63,2431
30201012125e12,2,2. Female,39,2431
603021712008e11,1,1. Male,48,2431
406011011586e11,1,1. Male,44,2431
203030621175e11,2,2. Female,43,2431
601040321829e11,1,1. Male,42,2431
304150121357e11,1,1. Male,50,2431
505030711768e11,1,1. Male,41,2431
301020321375e11,3,1. Male,49,2431
601050221902e11,2,2. Female,37,2431
130508022326e12,2,2. Female,32,2431
201020221125e11,1,1. Male,47,2431
501010121729e11,2,2. Female,30,2431
503040321698e11,1,1. Male,48,2431
120302141303e12,2,2. Female,48,2431
507060321795e11,1,1. Male,42,2431
606040612108e11,3,1. Male,29,2431
401010321595e11,1,1. Male,48,2431
704050222375e11,2,2. Female,48,2431
603012512126e11,1,1. Male,52,2431
302070321316e11,2,2. Female,42,2431
701020322284e11,3,1. Male,21,2431
110306051287e12,3,2. Female,31,2431
606070711873e11,2,2. Female,48,2431
703020522302e11,1,1. Male,44,2431
406010811577e11,1,1. Male,55,2431
120104042307e12,2,2. Female,28,2431
7030509223e13,5,2. Female,29,2431
13050304133e13,2,2. Female,52,2431
70204042234e12,2,2. Female,30,2431
101010221018e11,2,2. Female,36,2431
505010821791e11,2,2. Female,32,2431
60203051193e12,1,1. Male,42,2431
10040302228e13,1,1. Male,48,2431
100401012283e12,2,2. Female,29,2431
505050921744e11,1,1. Male,56,2431
603021711996e11,1,1. Male,45,2431
301020321418e11,1,1. Male,32,2432
902030812734e11,2,2. Female,27,2432
100102032282e12,1,1. Male,51,2440
603023812166e11,1,1. Male,66,2469
301040221375e11,2,2. Female,45,2469
603021212168e11,1,1. Male,53,2469
11040601229e13,2,2. Female,33,2469
704070522467e11,3,1. Male,30,2469
601050121893e11,1,1. Male,48,2469
803030912595e11,2,2. Female,24,2469
403040221471e11,3,2. Female,27,2469
702100212292e11,1,1. Male,62,2469
602041211922e11,2,2. Female,43,2469
703040522437e11,4,1. Male,24,2469
602021612187e11,2,2. Female,30,2469
505030511786e11,2,2. Female,45,2469
603013112262e11,1,1. Male,50,2511
603030111972e11,2,2. Female,37,2611
130509072326e12,1,1. Male,34,2612
303070221303e11,1,1. Male,57,2612
302010611311e11,1,1. Male,63,2619
603023411888e11,2,2. Female,37,2619
60302621223e12,2,2. Female,31,2922
505020721774e11,1,1. Male,30,2922
303060121298e11,2,2. Female,40,2924
203030621174e11,1,2. Female,44,2933
602060611877e11,14,2. Female,25,2933
101100511064e11,2,2. Female,39,2939
602050512159e11,3,2. Female,36,2939
100401022283e12,1,1. Male,63,2939
60504021203e12,4,1. Male,32,3112
60506081209e12,1,1. Male,27,3113
603013722202e11,1,1. Male,33,3113
701090122479e11,2,1. Male,30,3114
602020111937e11,1,1. Male,51,3114
605060112031e11,5,1. Male,26,3115
603021812148e11,1,1. Male,36,3115
603023812232e11,1,1. Male,38,3115
602021112073e11,8,2. Female,33,3119
606070711875e11,3,2. Female,21,3132
602021411837e11,6,1. Male,27,3151
603025112122e11,1,1. Male,41,3152
903070322672e11,1,1. Male,54,3152
204080111097e11,1,1. Male,30,3152
504030521703e11,1,1. Male,54,3152
304070221384e11,1,1. Male,48,3212
104020121085e11,1,1. Male,36,3221
306060121249e11,4,2. Female,31,3221
603010612135e11,2,1. Male,31,3222
304040321386e11,3,2. Female,31,3231
901030222645e11,2,2. Female,35,3231
130102012312e12,1,1. Male,53,3231
505030311687e11,14,1. Male,29,3231
606040612108e11,21,2. Female,40,3231
802080122497e11,6,2. Female,27,3232
505030111686e11,1,1. Male,26,3232
110205012286e12,2,2. Female,40,3232
507020221808e11,5,2. Female,27,3511
603021412288e11,1,1. Male,36,3513
30210042129e12,1,1. Male,53,3513
6030401122e13,12,1. Male,26,3513
606071012116e11,1,1. Male,39,3513
705090322451e11,2,1. Male,28,3513
606010111873e11,1,1. Male,32,3513
606010111875e11,5,1. Male,27,3513
606060312079e11,3,1. Male,21,3513
603026412278e11,8,2. Female,21,3519
602020512184e11,2,2. Female,51,3911
603023311889e11,1,1. Male,29,3911
603014112248e11,1,1. Male,35,3911
406020611518e11,2,2. Female,41,3911
605050311994e11,1,1. Male,32,3911
603030212256e11,3,2. Female,31,3911
603011812248e11,2,2. Female,30,3911
603025111983e11,4,1. Male,28,3911
401020221615e11,5,1. Male,52,3911
603025112122e11,4,1. Male,21,3911
603012111903e11,2,2. Female,26,3911
403030521479e11,1,1. Male,45,3911
401020221615e11,1,1. Male,42,3911
606070411941e11,4,1. Male,28,3911
603021412268e11,1,1. Male,31,3911
130302012323e12,1,1. Male,39,3911
605020512015e11,2,2. Female,43,3911
603022912259e11,1,1. Male,54,3911
606070812101e11,7,1. Male,30,3911
603012111903e11,2,2. Female,31,3911
120302131303e12,7,1. Male,33,3911
702030122346e11,1,1. Male,46,3911
605060312017e11,1,1. Male,24,3911
605050311995e11,1,1. Male,49,3911
603022912262e11,2,2. Female,32,3911
602060712241e11,1,1. Male,47,3911
603030312286e11,1,1. Male,29,3911
605020512018e11,1,1. Male,58,3911
605020512015e11,3,2. Female,46,3911
606060112076e11,6,2. Female,21,3911
605010112026e11,2,1. Male,33,3911
605050311995e11,5,2. Female,21,3911
406020321569e11,4,2. Female,26,3911
603024411871e11,2,1. Male,33,3911
204080111097e11,3,1. Male,30,3914
60205011206e12,2,2. Female,23,3914
606070612101e11,6,1. Male,30,3919
602020411841e11,2,2. Female,40,3919
606070312081e11,13,1. Male,22,3919
120302161303e12,1,1. Male,41,3919
120302111301e12,6,2. Female,27,3919
606040312114e11,7,1. Male,20,3919
605030211984e11,1,1. Male,42,3922
104080321044e11,1,1. Male,39,3924
302030211402e11,1,1. Male,51,3924
701060212386e11,1,1. Male,56,3930
602050711881e11,1,1. Male,27,3930
130304032322e12,1,1. Male,42,3930
101010321062e11,6,1. Male,52,3952
603031112033e11,1,1. Male,46,4111
603011711904e11,2,2. Female,29,4115
805010422619e11,2,2. Female,32,4115
13020702232e13,1,1. Male,27,4121
130202042319e12,2,1. Male,26,4122
403160121668e11,4,1. Male,22,4122
30605032121e12,1,1. Male,43,4122
603013612128e11,13,1. Male,23,4122
404070521631e11,3,1. Male,27,4122
406010411537e11,1,1. Male,32,4122
602021311938e11,1,1. Male,41,4131
603012512127e11,1,1. Male,30,4190
606010211955e11,1,1. Male,31,4190
603012512126e11,2,2. Female,28,4190
603011011864e11,1,1. Male,22,4190
603012111902e11,2,2. Female,42,4190
603022711973e11,1,1. Male,31,4190
704040122472e11,5,2. Female,26,4190
902030512635e11,1,1. Male,57,4190
603012912191e11,1,1. Male,32,4190
602030611929e11,1,1. Male,41,4190
603011612127e11,1,1. Male,40,4190
100502021279e12,2,2. Female,32,4190
603013722106e11,3,1. Male,35,4190
702020122176e11,7,1. Male,30,4190
603031112141e11,1,1. Male,37,4190
60302331189e12,1,1. Male,36,4190
902031012691e11,1,1. Male,45,4190
602021511933e11,1,1. Male,43,4190
603011411866e11,2,2. Female,35,4190
602060512224e11,1,1. Male,37,4190
605050112047e11,2,2. Female,34,4190
603023311889e11,2,2. Female,39,4190
60302241229e12,7,2. Female,29,4190
602050612157e11,1,1. Male,46,4190
602021212074e11,3,1. Male,29,4190
40101062159e12,3,1. Male,31,4190
805010122602e11,2,1. Male,33,4190
406070621613e11,1,1. Male,27,4190
606070411941e11,2,1. Male,30,4190
603012511982e11,1,1. Male,34,4190
605050112047e11,1,1. Male,43,4190
306080221431e11,2,1. Male,42,4190
603021212121e11,1,2. Female,22,4190
603012212137e11,1,1. Male,40,4190
603021712196e11,2,2. Female,41,4190
60505122224e12,1,1. Male,42,4190
603021612154e11,1,1. Male,46,4190
60302541198e12,2,2. Female,29,4190
302010911328e11,2,2. Female,27,4190
606010211946e11,1,1. Male,24,4190
130503021327e12,8,2. Female,28,4190
603021611856e11,1,1. Male,47,4190
603021311997e11,2,2. Female,46,4190
701090122478e11,1,1. Male,35,4190
100506022279e12,1,1. Male,49,4190
605050912037e11,1,1. Male,48,4190
603010911977e11,7,2. Female,32,4190
603021812164e11,1,1. Male,32,4190
403040221472e11,1,1. Male,41,4190
603026511973e11,1,1. Male,63,4190
602041111846e11,3,1. Male,31,4190
406070421584e11,1,1. Male,37,4190
603010511885e11,9,1. Male,30,4190
603012012144e11,7,2. Female,71,4190
603021811856e11,7,1. Male,34,4190
606030121942e11,2,2. Female,43,4190
40202012166e12,1,1. Male,56,4190
602021911844e11,1,1. Male,65,4190
604010222097e11,1,1. Male,36,4190
603022012263e11,1,1. Male,44,4190
605050412039e11,9,2. Female,22,4190
603011612128e11,1,1. Male,34,4190
603024612189e11,1,1. Male,44,4190
603013211823e11,1,1. Male,46,4190
701060222387e11,3,2. Female,25,4190
302090911314e11,6,1. Male,24,4190
603026012132e11,9,1. Male,43,4190
603031112134e11,1,1. Male,47,4190
603020111997e11,1,1. Male,29,4190
110306041285e12,9,1. Male,28,4190
13050306133e13,3,1. Male,28,4190
901080422716e11,2,2. Female,43,4190
603013911983e11,1,1. Male,43,4190
603026511869e11,1,1. Male,28,4190
603021712241e11,1,1. Male,52,4190
602020111936e11,2,2. Female,43,4190
406050611687e11,1,1. Male,49,4190
606070312082e11,3,2. Female,40,4190
603024412129e11,1,1. Male,52,4190
603011311977e11,1,1. Male,52,4190
602061122211e11,2,2. Female,41,4190
301050521432e11,1,1. Male,48,4190
602021112074e11,1,1. Male,45,4190
602021212074e11,3,2. Female,29,4190
702100412292e11,3,1. Male,35,4211
605060512091e11,4,2. Female,28,4211
70403022246e12,5,1. Male,26,4211
606070211942e11,2,2. Female,41,4212
603030512158e11,1,1. Male,62,4222
403120221559e11,1,1. Male,37,5112
10050205228e13,5,1. Male,30,5112
606071122119e11,1,1. Male,28,5112
606071122119e11,1,1. Male,32,5112
903070422754e11,1,1. Male,36,5112
402010821657e11,2,2. Female,51,5113
902030512693e11,2,2. Female,54,5121
101100420151e11,2,2. Female,46,5121
506040521738e11,2,2. Female,27,5121
403180321489e11,2,2. Female,39,5121
5070503218e13,3,2. Female,73,5121
702100112259e11,2,2. Female,44,5121
505030311688e11,1,2. Female,43,5121
603023012131e11,5,2. Female,27,5121
40601061159e12,2,2. Female,46,5121
603024411854e11,11,2. Female,16,5121
130506012326e12,2,2. Female,40,5121
902050422632e11,2,2. Female,56,5121
130306012322e12,2,2. Female,23,5121
603040412199e11,2,2. Female,25,5121
40205042165e12,2,2. Female,50,5121
40301042156e12,1,2. Female,72,5121
120302141312e12,8,2. Female,25,5121
507080621805e11,2,2. Female,43,5121
705030322483e11,13,2. Female,11,5121
303020521368e11,3,2. Female,17,5121
201011121091e11,3,2. Female,23,5121
50705042181e12,1,2. Female,52,5121
70204042234e12,2,2. Female,23,5121
406010721577e11,8,2. Female,62,5121
70504012227e12,2,2. Female,28,5121
703020322306e11,2,2. Female,62,5121
120201182308e12,2,2. Female,56,5121
603011911862e11,2,2. Female,45,5121
60605021191e12,2,2. Female,32,5121
603023612051e11,2,2. Female,33,5121
507030121801e11,7,2. Female,31,5121
606010211947e11,2,2. Female,45,5121
605060412086e11,5,2. Female,12,5121
702060222409e11,3,1. Male,17,5121
120103092304e12,2,2. Female,25,5121
804030122541e11,2,2. Female,43,5121
120302141301e12,2,2. Female,35,5121
13020802233e13,6,2. Female,16,5121
702070322426e11,2,2. Female,80,5121
403130221491e11,2,2. Female,54,5121
306080221438e11,5,2. Female,23,5121
603040412199e11,7,2. Female,46,5121
902060122631e11,2,2. Female,53,5121
603012012144e11,2,2. Female,32,5121
305030421275e11,9,2. Female,24,5121
505031611766e11,2,2. Female,36,5121
104010621031e11,2,2. Female,44,5121
703110422361e11,2,2. Female,24,5121
305070221335e11,2,2. Female,42,5121
306040221457e11,2,2. Female,57,5121
504010321742e11,6,2. Female,17,5121
302090611462e11,7,1. Male,17,5121
130506012325e12,2,2. Female,27,5121
40507022153e12,2,2. Female,35,5121
606040111954e11,2,2. Female,55,5121
605060412086e11,2,2. Female,31,5121
1203030623e14,2,2. Female,36,5121
406060721564e11,2,2. Female,32,5121
104020121014e11,2,2. Female,46,5121
303030321399e11,2,2. Female,37,5121
401010521596e11,2,2. Female,54,5121
60302041189e12,2,2. Female,47,5121
702061022335e11,6,2. Female,10,5121
3030401214e13,2,2. Female,53,5121
303020121244e11,9,2. Female,21,5121
306050421443e11,2,2. Female,35,5121
507080621806e11,2,2. Female,40,5121
504020121708e11,2,2. Female,67,5121
12030101231e13,2,2. Female,21,5121
901080122665e11,2,2. Female,27,5121
605030211984e11,10,2. Female,30,5121
705040222269e11,2,2. Female,27,5121
603011311978e11,2,2. Female,22,5121
603022012117e11,2,2. Female,28,5121
306060121211e11,2,2. Female,30,5121
504010421709e11,4,2. Female,18,5121
130208022321e12,2,2. Female,23,5121
130206022319e12,2,2. Female,21,5121
506040321737e11,2,2. Female,42,5121
603011011864e11,4,1. Male,46,5121
601020321832e11,2,2. Female,25,5121
30503022128e12,2,1. Male,29,5121
130503021324e12,6,1. Male,58,5121
60506081209e12,2,2. Female,19,5121
70201052242e12,3,2. Female,33,5121
130509032316e12,4,2. Female,24,5121
100306012277e12,8,2. Female,24,5121
120104032306e12,2,2. Female,49,5121
303040121401e11,2,2. Female,65,5121
606010211955e11,8,1. Male,27,5121
703020722302e11,2,2. Female,65,5121
120201192308e12,2,2. Female,65,5121
402040221551e11,2,2. Female,53,5121
406020411569e11,2,2. Female,37,5121
603026311898e11,2,2. Female,24,5121
403040221472e11,2,2. Female,42,5121
603011011865e11,2,2. Female,55,5121
80205012249e12,5,2. Female,20,5121
60206021221e12,2,2. Female,25,5121
120105052305e12,2,2. Female,65,5121
104020121085e11,2,2. Female,53,5121
606010211946e11,8,2. Female,32,5121
702060322294e11,8,2. Female,26,5121
130104012314e12,2,2. Female,60,5121
120302161303e12,2,2. Female,40,5121
120103082305e12,2,2. Female,22,5121
120401082312e12,2,2. Female,45,5121
30504022122e12,4,1. Male,11,5121
803010622606e11,2,2. Female,25,5121
40313012149e12,2,2. Female,57,5121
404010221515e11,2,2. Female,33,5121
100304032277e12,11,2. Female,65,5121
101030121e14,8,2. Female,24,5121
605060412086e11,2,2. Female,31,5121
803070322582e11,2,2. Female,41,5121
902060122631e11,2,2. Female,40,5121
120201212308e12,2,2. Female,22,5121
603040211967e11,5,2. Female,21,5121
403120321664e11,2,2. Female,24,5121
30209012146e12,2,2. Female,57,5121
130509022317e12,2,2. Female,30,5121
602040422177e11,2,2. Female,23,5121
130303082324e12,4,1. Male,12,5121
402060321648e11,2,2. Female,51,5121
505040221778e11,2,2. Female,51,5121
110102052292e12,2,2. Female,30,5121
