ctable,country,year,isic,isiccomb,value,utable,source,unit
14,076,1996,222,222,1000,12,1,$
14,076,1996,2221,2221,NA,12,0,$
14,076,1996,2222,2222,NA,12,0,$
14,076,1996,2230,2230,1000,12,1,$
14,076,1996,2310,2310,1000,12,1,$
14,076,1996,2320,2320,1000,12,1,$
14,076,1996,2330,2330,NA,12,0,$
14,076,1996,241,241,1000,12,1,$
14,076,1996,2411,2411,NA,12,0,$
14,076,1996,2412,2412,NA,12,0,$
14,076,1996,2413,2413,NA,12,0,$
14,076,1996,242,242,1000,12,1,$
14,076,1996,2421,2421,NA,12,0,$
14,076,1996,2422,2422,NA,12,0,$
14,076,1996,2423,2423,NA,12,0,$
14,076,1996,2424,2424,NA,12,0,$
14,076,1996,2429,2429,NA,12,0,$
14,076,1996,2430,2430,1000,12,1,$
14,076,1996,251,251,1000,12,1,$
14,076,1996,2511,2511,NA,12,0,$
14,076,1996,2519,2519,NA,12,0,$
14,076,1996,2520,2520,1000,12,1,$
14,076,1996,2610,2610,1000,12,1,$
14,076,1996,269,269,1000,12,1,$
14,076,1996,2691,2691,NA,12,0,$
14,076,1996,2692,2692,NA,12,0,$
14,076,1996,2693,2693,NA,12,0,$
14,076,1996,2694,2694,NA,12,0,$
14,076,1996,2695,2695,NA,12,0,$
14,076,1996,2696,2696,NA,12,0,$
14,076,1996,2699,2699,NA,12,0,$
14,076,1996,2710,2710,1000,12,1,$
14,076,1996,2720,2720,1000,12,1,$
14,076,1996,273,273,1000,12,1,$
14,076,1996,2731,2731,NA,12,0,$
14,076,1996,2732,2732,NA,12,0,$
14,076,1996,281,281,1000,12,1,$
14,076,1996,2811,2811,NA,12,0,$
14,076,1996,2812,2812,NA,12,0,$
14,076,1996,2813,2813,NA,12,0,$
14,076,1996,289,289,1000,12,1,$
14,076,1996,2891,2891,NA,12,0,$
14,076,1996,2892,2892,NA,12,0,$
14,076,1996,2893,2893,NA,12,0,$
14,076,1996,2899,2899,NA,12,0,$
14,076,1996,291,291,1000,12,1,$
14,076,1996,2911,2911,NA,12,0,$
14,076,1996,2912,2912,NA,12,0,$
14,076,1996,2913,2913,NA,12,0,$
14,076,1996,2914,2914,NA,12,0,$
14,076,1996,2915,2915,NA,12,0,$
14,076,1996,2919,2919,NA,12,0,$
14,076,1996,292,292,1000,12,1,$
14,076,1996,2921,2921,NA,12,0,$
14,076,1996,2922,2922,NA,12,0,$
14,076,1996,2923,2923,NA,12,0,$
14,076,1996,2924,2924,NA,12,0,$
14,076,1996,2925,2925,NA,12,0,$
14,076,1996,2926,2926,NA,12,0,$
14,076,1996,2927,2927,NA,12,0,$
14,076,1996,2929,2929,NA,12,0,$
14,076,1996,2930,2930,1000,12,1,$
14,076,1996,3000,3000,1000,12,1,$
14,076,1996,3110,3110,1000,12,1,$
14,076,1996,3120,3120,1000,12,1,$
14,076,1996,3130,3130,1000,12,1,$
14,076,1996,3140,3140,1000,12,1,$
14,076,1996,3150,3150,1000,12,1,$
14,076,1996,3190,3190,1000,12,1,$
14,076,1996,3210,3210,1000,12,1,$
14,076,1996,3220,3220,1000,12,1,$
14,076,1996,3230,3230,1000,12,1,$
14,076,1996,331,331,1000,12,1,$
14,076,1996,3311,3311,NA,12,0,$
14,076,1996,3312,3312,NA,12,0,$
14,076,1996,3313,3313,NA,12,0,$
14,076,1996,3320,3320,1000,12,1,$
14,076,1996,3330,3330,1000,12,1,$
14,076,1996,3410,3410,1000,12,1,$
14,076,1996,3420,3420,1000,12,1,$
14,076,1996,3430,3430,1000,12,1,$
14,076,1996,351,351,1000,12,1,$
14,076,1996,3511,3511,NA,12,0,$
14,076,1996,3512,3512,NA,12,0,$
14,076,1996,3520,3520,1000,12,1,$
14,076,1996,3530,3530,1000,12,1,$
14,076,1996,359,359,1000,12,1,$
14,076,1996,3591,3591,NA,12,0,$
14,076,1996,3592,3592,NA,12,0,$
14,076,1996,3599,3599,NA,12,0,$
14,076,1996,3610,3610,1000,12,1,$
14,076,1996,369,369,1000,12,1,$
14,076,1996,3691,3691,NA,12,0,$
14,076,1996,3692,3692,NA,12,0,$
14,076,1996,3693,3693,NA,12,0,$
14,076,1996,3694,3694,NA,12,0,$
14,076,1996,3699,3699,NA,12,0,$
14,076,1996,3710,3710,1000,12,1,$
14,076,1996,3720,3720,1000,12,1,$
14,076,1997,151,151,1000,12,1,$
14,076,1997,1511,1511,NA,12,0,$
14,076,1997,1512,1512,NA,12,0,$
14,076,1997,1513,1513,NA,12,0,$
14,076,1997,1514,1514,NA,12,0,$
14,076,1997,1520,1520,1000,12,1,$
14,076,1997,153,153,1000,12,1,$
14,076,1997,1531,1531,NA,12,0,$
14,076,1997,1532,1532,NA,12,0,$
14,076,1997,1533,1533,NA,12,0,$
14,076,1997,154,154,1000,12,1,$
14,076,1997,1541,1541,NA,12,0,$
14,076,1997,1542,1542,NA,12,0,$
14,076,1997,1543,1543,NA,12,0,$
14,076,1997,1544,1544,NA,12,0,$
14,076,1997,1549,1549,NA,12,0,$
14,076,1997,155,155,1000,12,1,$
14,076,1997,1551,1551,NA,12,0,$
14,076,1997,1552,1552,NA,12,0,$
14,076,1997,1553,1553,NA,12,0,$
14,076,1997,1554,1554,NA,12,0,$
14,076,1997,1600,1600,1000,12,1,$
14,076,1997,171,171,1000,12,1,$
14,076,1997,1711,1711,NA,12,0,$
14,076,1997,1712,1712,NA,12,0,$
14,076,1997,172,172,1000,12,1,$
14,076,1997,1721,1721,NA,12,0,$
14,076,1997,1722,1722,NA,12,0,$
14,076,1997,1723,1723,NA,12,0,$
14,076,1997,1729,1729,NA,12,0,$
14,076,1997,1730,1730,1000,12,1,$
14,076,1997,1810,1810A,1000,12,1,$
14,076,1997,1820,1810A,NA,12,1,$
14,076,1997,191,191,1000,12,1,$
14,076,1997,1911,1911,NA,12,0,$
14,076,1997,1912,1912,NA,12,0,$
14,076,1997,1920,1920,1000,12,1,$
14,076,1997,2010,2010,1000,12,1,$
14,076,1997,202,202,1000,12,1,$
14,076,1997,2021,2021,NA,12,0,$
14,076,1997,2022,2022,NA,12,0,$
14,076,1997,2023,2023,NA,12,0,$
14,076,1997,2029,2029,NA,12,0,$
14,076,1997,210,210,1000,12,1,$
14,076,1997,2101,2101,NA,12,0,$
14,076,1997,2102,2102,NA,12,0,$
14,076,1997,2109,2109,NA,12,0,$
14,076,1997,221,221,1000,12,1,$
14,076,1997,2211,2211,NA,12,0,$
14,076,1997,2212,2212,NA,12,0,$
14,076,1997,2213,2213,NA,12,0,$
14,076,1997,2219,2219,NA,12,0,$
14,076,1997,222,222,1000,12,1,$
14,076,1997,2221,2221,NA,12,0,$
14,076,1997,2222,2222,NA,12,0,$
14,076,1997,2230,2230,1000,12,1,$
14,076,1997,2310,2310,1000,12,1,$
14,076,1997,2320,2320,1000,12,1,$
14,076,1997,2330,2330,NA,12,0,$
14,076,1997,241,241,1000,12,1,$
14,076,1997,2411,2411,NA,12,0,$
14,076,1997,2412,2412,NA,12,0,$
14,076,1997,2413,2413,NA,12,0,$
14,076,1997,242,242,1000,12,1,$
14,076,1997,2421,2421,NA,12,0,$
14,076,1997,2422,2422,NA,12,0,$
14,076,1997,2423,2423,NA,12,0,$
14,076,1997,2424,2424,NA,12,0,$
14,076,1997,2429,2429,NA,12,0,$
14,076,1997,2430,2430,1000,12,1,$
14,076,1997,251,251,1000,12,1,$
14,076,1997,2511,2511,NA,12,0,$
14,076,1997,2519,2519,NA,12,0,$
14,076,1997,2520,2520,1000,12,1,$
14,076,1997,2610,2610,1000,12,1,$
14,076,1997,269,269,1000,12,1,$
14,076,1997,2691,2691,NA,12,0,$
14,076,1997,2692,2692,NA,12,0,$
14,076,1997,2693,2693,NA,12,0,$
14,076,1997,2694,2694,NA,12,0,$
14,076,1997,2695,2695,NA,12,0,$
14,076,1997,2696,2696,NA,12,0,$
14,076,1997,2699,2699,NA,12,0,$
14,076,1997,2710,2710,1000,12,1,$
14,076,1997,2720,2720,1000,12,1,$
14,076,1997,273,273,1000,12,1,$
14,076,1997,2731,2731,NA,12,0,$
14,076,1997,2732,2732,NA,12,0,$
14,076,1997,281,281,1000,12,1,$
14,076,1997,2811,2811,NA,12,0,$
14,076,1997,2812,2812,NA,12,0,$
14,076,1997,2813,2813,NA,12,0,$
14,076,1997,289,289,1000,12,1,$
14,076,1997,2891,2891,NA,12,0,$
14,076,1997,2892,2892,NA,12,0,$
14,076,1997,2893,2893,NA,12,0,$
14,076,1997,2899,2899,NA,12,0,$
14,076,1997,291,291,1000,12,1,$
14,076,1997,2911,2911,NA,12,0,$
14,076,1997,2912,2912,NA,12,0,$
14,076,1997,2913,2913,NA,12,0,$
14,076,1997,2914,2914,NA,12,0,$
14,076,1997,2915,2915,NA,12,0,$
14,076,1997,2919,2919,NA,12,0,$
14,076,1997,292,292,1000,12,1,$
14,076,1997,2921,2921,NA,12,0,$
14,076,1997,2922,2922,NA,12,0,$
14,076,1997,2923,2923,NA,12,0,$
14,076,1997,2924,2924,NA,12,0,$
14,076,1997,2925,2925,NA,12,0,$
14,076,1997,2926,2926,NA,12,0,$
14,076,1997,2927,2927,NA,12,0,$
14,076,1997,2929,2929,NA,12,0,$
14,076,1997,2930,2930,1000,12,1,$
14,076,1997,3000,3000,1000,12,1,$
14,076,1997,3110,3110,1000,12,1,$
14,076,1997,3120,3120,1000,12,1,$
14,076,1997,3130,3130,1000,12,1,$
14,076,1997,3140,3140,1000,12,1,$
14,076,1997,3150,3150,1000,12,1,$
14,076,1997,3190,3190,1000,12,1,$
14,076,1997,3210,3210,1000,12,1,$
14,076,1997,3220,3220,1000,12,1,$
14,076,1997,3230,3230,1000,12,1,$
14,076,1997,331,331,1000,12,1,$
14,076,1997,3311,3311,NA,12,0,$
14,076,1997,3312,3312,NA,12,0,$
14,076,1997,3313,3313,NA,12,0,$
14,076,1997,3320,3320,1000,12,1,$
14,076,1997,3330,3330,1000,12,1,$
14,076,1997,3410,3410,1000,12,1,$
14,076,1997,3420,3420,1000,12,1,$
14,076,1997,3430,3430,1000,12,1,$
14,076,1997,351,351,1000,12,1,$
14,076,1997,3511,3511,NA,12,0,$
14,076,1997,3512,3512,NA,12,0,$
14,076,1997,3520,3520,1000,12,1,$
14,076,1997,3530,3530,1000,12,1,$
14,076,1997,359,359,1000,12,1,$
14,076,1997,3591,3591,NA,12,0,$
14,076,1997,3592,3592,NA,12,0,$
14,076,1997,3599,3599,NA,12,0,$
14,076,1997,3610,3610,1000,12,1,$
14,076,1997,369,369,1000,12,1,$
14,076,1997,3691,3691,NA,12,0,$
14,076,1997,3692,3692,NA,12,0,$
14,076,1997,3693,3693,NA,12,0,$
14,076,1997,3694,3694,NA,12,0,$
14,076,1997,3699,3699,NA,12,0,$
14,076,1997,3710,3710,1000,12,1,$
14,076,1997,3720,3720,1000,12,1,$
14,076,1998,151,151,1000,12,1,$
14,076,1998,1511,1511,NA,12,0,$
14,076,1998,1512,1512,NA,12,0,$
14,076,1998,1513,1513,NA,12,0,$
14,076,1998,1514,1514,NA,12,0,$
14,076,1998,1520,1520,1000,12,1,$
14,076,1998,153,153,1000,12,1,$
14,076,1998,1531,1531,NA,12,0,$
14,076,1998,1532,1532,NA,12,0,$
14,076,1998,1533,1533,NA,12,0,$
14,076,1998,154,154,1000,12,1,$
14,076,1998,1541,1541,NA,12,0,$
14,076,1998,1542,1542,NA,12,0,$
14,076,1998,1543,1543,NA,12,0,$
14,076,1998,1544,1544,NA,12,0,$
14,076,1998,1549,1549,NA,12,0,$
14,076,1998,155,155,1000,12,1,$
14,076,1998,1551,1551,NA,12,0,$
14,076,1998,1552,1552,NA,12,0,$
14,076,1998,1553,1553,NA,12,0,$
14,076,1998,1554,1554,NA,12,0,$
14,076,1998,1600,1600,1000,12,1,$
14,076,1998,171,171,1000,12,1,$
14,076,1998,1711,1711,NA,12,0,$
14,076,1998,1712,1712,NA,12,0,$
14,076,1998,172,172,1000,12,1,$
14,076,1998,1721,1721,NA,12,0,$
14,076,1998,1722,1722,NA,12,0,$
14,076,1998,1723,1723,NA,12,0,$
14,076,1998,1729,1729,NA,12,0,$
14,076,1998,1730,1730,1000,12,1,$
14,076,1998,1810,1810A,1000,12,1,$
14,076,1998,1820,1810A,NA,12,1,$
14,076,1998,191,191,1000,12,1,$
14,076,1998,1911,1911,NA,12,0,$
14,076,1998,1912,1912,NA,12,0,$
14,076,1998,1920,1920,1000,12,1,$
14,076,1998,2010,2010,1000,12,1,$
14,076,1998,202,202,1000,12,1,$
14,076,1998,2021,2021,NA,12,0,$
14,076,1998,2022,2022,NA,12,0,$
14,076,1998,2023,2023,NA,12,0,$
14,076,1998,2029,2029,NA,12,0,$
14,076,1998,210,210,1000,12,1,$
14,076,1998,2101,2101,NA,12,0,$
14,076,1998,2102,2102,NA,12,0,$
14,076,1998,2109,2109,NA,12,0,$
14,076,1998,221,221,1000,12,1,$
14,076,1998,2211,2211,NA,12,0,$
14,076,1998,2212,2212,NA,12,0,$
14,076,1998,2213,2213,NA,12,0,$
14,076,1998,2219,2219,NA,12,0,$
14,076,1998,222,222,1000,12,1,$
14,076,1998,2221,2221,NA,12,0,$
14,076,1998,2222,2222,NA,12,0,$
14,076,1998,2230,2230,1000,12,1,$
14,076,1998,2310,2310,1000,12,1,$
14,076,1998,2320,2320,1000,12,1,$
14,076,1998,2330,2330,NA,12,0,$
14,076,1998,241,241,1000,12,1,$
14,076,1998,2411,2411,NA,12,0,$
14,076,1998,2412,2412,NA,12,0,$
14,076,1998,2413,2413,NA,12,0,$
14,076,1998,242,242,1000,12,1,$
14,076,1998,2421,2421,NA,12,0,$
14,076,1998,2422,2422,NA,12,0,$
14,076,1998,2423,2423,NA,12,0,$
14,076,1998,2424,2424,NA,12,0,$
14,076,1998,2429,2429,NA,12,0,$
14,076,1998,2430,2430,1000,12,1,$
14,076,1998,251,251,1000,12,1,$
14,076,1998,2511,2511,NA,12,0,$
14,076,1998,2519,2519,NA,12,0,$
14,076,1998,2520,2520,1000,12,1,$
14,076,1998,2610,2610,1000,12,1,$
14,076,1998,269,269,1000,12,1,$
14,076,1998,2691,2691,NA,12,0,$
14,076,1998,2692,2692,NA,12,0,$
14,076,1998,2693,2693,NA,12,0,$
14,076,1998,2694,2694,NA,12,0,$
14,076,1998,2695,2695,NA,12,0,$
14,076,1998,2696,2696,NA,12,0,$
14,076,1998,2699,2699,NA,12,0,$
14,076,1998,2710,2710,1000,12,1,$
14,076,1998,2720,2720,1000,12,1,$
14,076,1998,273,273,1000,12,1,$
14,076,1998,2731,2731,NA,12,0,$
14,076,1998,2732,2732,NA,12,0,$
14,076,1998,281,281,1000,12,1,$
14,076,1998,2811,2811,NA,12,0,$
14,076,1998,2812,2812,NA,12,0,$
14,076,1998,2813,2813,NA,12,0,$
14,076,1998,289,289,1000,12,1,$
14,076,1998,2891,2891,NA,12,0,$
14,076,1998,2892,2892,NA,12,0,$
14,076,1998,2893,2893,NA,12,0,$
14,076,1998,2899,2899,NA,12,0,$
14,076,1998,291,291,1000,12,1,$
14,076,1998,2911,2911,NA,12,0,$
14,076,1998,2912,2912,NA,12,0,$
14,076,1998,2913,2913,NA,12,0,$
14,076,1998,2914,2914,NA,12,0,$
14,076,1998,2915,2915,NA,12,0,$
14,076,1998,2919,2919,NA,12,0,$
14,076,1998,292,292,1000,12,1,$
14,076,1998,2921,2921,NA,12,0,$
14,076,1998,2922,2922,NA,12,0,$
14,076,1998,2923,2923,NA,12,0,$
14,076,1998,2924,2924,NA,12,0,$
14,076,1998,2925,2925,NA,12,0,$
14,076,1998,2926,2926,NA,12,0,$
14,076,1998,2927,2927,NA,12,0,$
14,076,1998,2929,2929,NA,12,0,$
14,076,1998,2930,2930,1000,12,1,$
14,076,1998,3000,3000,1000,12,1,$
14,076,1998,3110,3110,1000,12,1,$
14,076,1998,3120,3120,1000,12,1,$
14,076,1998,3130,3130,1000,12,1,$
14,076,1998,3140,3140,1000,12,1,$
14,076,1998,3150,3150,1000,12,1,$
14,076,1998,3190,3190,1000,12,1,$
14,076,1998,3210,3210,1000,12,1,$
14,076,1998,3220,3220,1000,12,1,$
14,076,1998,3230,3230,1000,12,1,$
14,076,1998,331,331,1000,12,1,$
14,076,1998,3311,3311,NA,12,0,$
14,076,1998,3312,3312,NA,12,0,$
14,076,1998,3313,3313,NA,12,0,$
14,076,1998,3320,3320,1000,12,1,$
14,076,1998,3330,3330,1000,12,1,$
14,076,1998,3410,3410,1000,12,1,$
14,076,1998,3420,3420,1000,12,1,$
14,076,1998,3430,3430,1000,12,1,$
14,076,1998,351,351,1000,12,1,$
14,076,1998,3511,3511,NA,12,0,$
14,076,1998,3512,3512,NA,12,0,$
14,076,1998,3520,3520,1000,12,1,$
14,076,1998,3530,3530,1000,12,1,$
14,076,1998,359,359,1000,12,1,$
14,076,1998,3591,3591,NA,12,0,$
14,076,1998,3592,3592,NA,12,0,$
14,076,1998,3599,3599,NA,12,0,$
14,076,1998,3610,3610,1000,12,1,$
14,076,1998,369,369,1000,12,1,$
14,076,1998,3691,3691,NA,12,0,$
14,076,1998,3692,3692,NA,12,0,$
14,076,1998,3693,3693,NA,12,0,$
14,076,1998,3694,3694,NA,12,0,$
14,076,1998,3699,3699,NA,12,0,$
14,076,1998,3710,3710,1000,12,1,$
14,076,1998,3720,3720,1000,12,1,$
14,076,1999,151,151,1000,12,1,$
14,076,1999,1511,1511,NA,12,0,$
14,076,1999,1512,1512,NA,12,0,$
14,076,1999,1513,1513,NA,12,0,$
14,076,1999,1514,1514,NA,12,0,$
14,076,1999,1520,1520,1000,12,1,$
14,076,1999,153,153,1000,12,1,$
14,076,1999,1531,1531,NA,12,0,$
14,076,1999,1532,1532,NA,12,0,$
14,076,1999,1533,1533,NA,12,0,$
14,076,1999,154,154,1000,12,1,$
14,076,1999,1541,1541,NA,12,0,$
14,076,1999,1542,1542,NA,12,0,$
14,076,1999,1543,1543,NA,12,0,$
14,076,1999,1544,1544,NA,12,0,$
14,076,1999,1549,1549,NA,12,0,$
14,076,1999,155,155,1000,12,1,$
14,076,1999,1551,1551,NA,12,0,$
14,076,1999,1552,1552,NA,12,0,$
14,076,1999,1553,1553,NA,12,0,$
14,076,1999,1554,1554,NA,12,0,$
14,076,1999,1600,1600,1000,12,1,$
14,076,1999,171,171,1000,12,1,$
14,076,1999,1711,1711,NA,12,0,$
14,076,1999,1712,1712,NA,12,0,$
14,076,1999,172,172,1000,12,1,$
14,076,1999,1721,1721,NA,12,0,$
14,076,1999,1722,1722,NA,12,0,$
14,076,1999,1723,1723,NA,12,0,$
14,076,1999,1729,1729,NA,12,0,$
14,076,1999,1730,1730,1000,12,1,$
14,076,1999,1810,1810A,1000,12,1,$
14,076,1999,1820,1810A,NA,12,1,$
14,076,1999,191,191,1000,12,1,$
14,076,1999,1911,1911,NA,12,0,$
14,076,1999,1912,1912,NA,12,0,$
14,076,1999,1920,1920,1000,12,1,$
14,076,1999,2010,2010,1000,12,1,$
14,076,1999,202,202,1000,12,1,$
14,076,1999,2021,2021,NA,12,0,$
14,076,1999,2022,2022,NA,12,0,$
14,076,1999,2023,2023,NA,12,0,$
14,076,1999,2029,2029,NA,12,0,$
14,076,1999,210,210,1000,12,1,$
14,076,1999,2101,2101,NA,12,0,$
14,076,1999,2102,2102,NA,12,0,$
14,076,1999,2109,2109,NA,12,0,$
14,076,1999,221,221,1000,12,1,$
14,076,1999,2211,2211,NA,12,0,$
14,076,1999,2212,2212,NA,12,0,$
14,076,1999,2213,2213,NA,12,0,$
14,076,1999,2219,2219,NA,12,0,$
14,076,1999,222,222,1000,12,1,$
14,076,1999,2221,2221,NA,12,0,$
14,076,1999,2222,2222,NA,12,0,$
14,076,1999,2230,2230,1000,12,1,$
14,076,1999,2310,2310,1000,12,1,$
14,076,1999,2320,2320,1000,12,1,$
14,076,1999,2330,2330,NA,12,0,$
14,076,1999,241,241,1000,12,1,$
14,076,1999,2411,2411,NA,12,0,$
14,076,1999,2412,2412,NA,12,0,$
14,076,1999,2413,2413,NA,12,0,$
14,076,1999,242,242,1000,12,1,$
14,076,1999,2421,2421,NA,12,0,$
14,076,1999,2422,2422,NA,12,0,$
14,076,1999,2423,2423,NA,12,0,$
14,076,1999,2424,2424,NA,12,0,$
14,076,1999,2429,2429,NA,12,0,$
14,076,1999,2430,2430,1000,12,1,$
14,076,1999,251,251,1000,12,1,$
14,076,1999,2511,2511,NA,12,0,$
14,076,1999,2519,2519,NA,12,0,$
14,076,1999,2520,2520,1000,12,1,$
14,076,1999,2610,2610,1000,12,1,$
14,076,1999,269,269,1000,12,1,$
14,076,1999,2691,2691,NA,12,0,$
14,076,1999,2692,2692,NA,12,0,$
14,076,1999,2693,2693,NA,12,0,$
14,076,1999,2694,2694,NA,12,0,$
14,076,1999,2695,2695,NA,12,0,$
14,076,1999,2696,2696,NA,12,0,$
14,076,1999,2699,2699,NA,12,0,$
14,076,1999,2710,2710,1000,12,1,$
14,076,1999,2720,2720,1000,12,1,$
14,076,1999,273,273,1000,12,1,$
14,076,1999,2731,2731,NA,12,0,$
14,076,1999,2732,2732,NA,12,0,$
14,076,1999,281,281,1000,12,1,$
14,076,1999,2811,2811,NA,12,0,$
14,076,1999,2812,2812,NA,12,0,$
14,076,1999,2813,2813,NA,12,0,$
14,076,1999,289,289,1000,12,1,$
14,076,1999,2891,2891,NA,12,0,$
14,076,1999,2892,2892,NA,12,0,$
14,076,1999,2893,2893,NA,12,0,$
14,076,1999,2899,2899,NA,12,0,$
14,076,1999,291,291,1000,12,1,$
14,076,1999,2911,2911,NA,12,0,$
14,076,1999,2912,2912,NA,12,0,$
14,076,1999,2913,2913,NA,12,0,$
14,076,1999,2914,2914,NA,12,0,$
14,076,1999,2915,2915,NA,12,0,$
14,076,1999,2919,2919,NA,12,0,$
14,076,1999,292,292,1000,12,1,$
14,076,1999,2921,2921,NA,12,0,$
14,076,1999,2922,2922,NA,12,0,$
14,076,1999,2923,2923,NA,12,0,$
14,076,1999,2924,2924,NA,12,0,$
14,076,1999,2925,2925,NA,12,0,$
14,076,1999,2926,2926,NA,12,0,$
14,076,1999,2927,2927,NA,12,0,$
14,076,1999,2929,2929,NA,12,0,$
14,076,1999,2930,2930,1000,12,1,$
14,076,1999,3000,3000,1000,12,1,$
14,076,1999,3110,3110,1000,12,1,$
14,076,1999,3120,3120,1000,12,1,$
14,076,1999,3130,3130,1000,12,1,$
14,076,1999,3140,3140,1000,12,1,$
14,076,1999,3150,3150,1000,12,1,$
14,076,1999,3190,3190,1000,12,1,$
14,076,1999,3210,3210,1000,12,1,$
14,076,1999,3220,3220,1000,12,1,$
14,076,1999,3230,3230,1000,12,1,$
14,076,1999,331,331,1000,12,1,$
14,076,1999,3311,3311,NA,12,0,$
14,076,1999,3312,3312,NA,12,0,$
14,076,1999,3313,3313,NA,12,0,$
14,076,1999,3320,3320,1000,12,1,$
14,076,1999,3330,3330,1000,12,1,$
14,076,1999,3410,3410,1000,12,1,$
14,076,1999,3420,3420,1000,12,1,$
14,076,1999,3430,3430,1000,12,1,$
14,076,1999,351,351,1000,12,1,$
14,076,1999,3511,3511,NA,12,0,$
14,076,1999,3512,3512,NA,12,0,$
14,076,1999,3520,3520,1000,12,1,$
14,076,1999,3530,3530,1000,12,1,$
14,076,1999,359,359,1000,12,1,$
14,076,1999,3591,3591,NA,12,0,$
14,076,1999,3592,3592,NA,12,0,$
14,076,1999,3599,3599,NA,12,0,$
14,076,1999,3610,3610,1000,12,1,$
14,076,1999,369,369,1000,12,1,$
14,076,1999,3691,3691,NA,12,0,$
14,076,1999,3692,3692,NA,12,0,$
14,076,1999,3693,3693,NA,12,0,$
14,076,1999,3694,3694,NA,12,0,$
14,076,1999,3699,3699,NA,12,0,$
14,076,1999,3710,3710,1000,12,1,$
14,076,1999,3720,3720,1000,12,1,$
14,076,2000,151,151,1000,12,1,$
14,076,2000,1511,1511,NA,12,0,$
14,076,2000,1512,1512,NA,12,0,$
14,076,2000,1513,1513,NA,12,0,$
14,076,2000,1514,1514,NA,12,0,$
14,076,2000,1520,1520,1000,12,1,$
14,076,2000,153,153,1000,12,1,$
14,076,2000,1531,1531,NA,12,0,$
14,076,2000,1532,1532,NA,12,0,$
14,076,2000,1533,1533,NA,12,0,$
14,076,2000,154,154,1000,12,1,$
14,076,2000,1541,1541,NA,12,0,$
14,076,2000,1542,1542,NA,12,0,$
14,076,2000,1543,1543,NA,12,0,$
14,076,2000,1544,1544,NA,12,0,$
14,076,2000,1549,1549,NA,12,0,$
14,076,2000,155,155,1000,12,1,$
14,076,2000,1551,1551,NA,12,0,$
14,076,2000,1552,1552,NA,12,0,$
14,076,2000,1553,1553,NA,12,0,$
14,076,2000,1554,1554,NA,12,0,$
14,076,2000,1600,1600,1000,12,1,$
14,076,2000,171,171,1000,12,1,$
14,076,2000,1711,1711,NA,12,0,$
14,076,2000,1712,1712,NA,12,0,$
14,076,2000,172,172,1000,12,1,$
14,076,2000,1721,1721,NA,12,0,$
14,076,2000,1722,1722,NA,12,0,$
14,076,2000,1723,1723,NA,12,0,$
14,076,2000,1729,1729,NA,12,0,$
14,076,2000,1730,1730,1000,12,1,$
14,076,2000,1810,1810A,1000,12,1,$
14,076,2000,1820,1810A,NA,12,1,$
14,076,2000,191,191,1000,12,1,$
14,076,2000,1911,1911,NA,12,0,$
14,076,2000,1912,1912,NA,12,0,$
14,076,2000,1920,1920,1000,12,1,$
14,076,2000,2010,2010,1000,12,1,$
